date,close
02-Jan-86,209.59
03-Jan-86,210.88
06-Jan-86,210.65
07-Jan-86,213.80
08-Jan-86,207.97
09-Jan-86,206.11
10-Jan-86,205.96
13-Jan-86,206.72
14-Jan-86,206.64
15-Jan-86,208.26
16-Jan-86,209.17
17-Jan-86,208.43
20-Jan-86,207.53
21-Jan-86,205.79
22-Jan-86,203.49
23-Jan-86,204.25
24-Jan-86,206.43
27-Jan-86,207.39
28-Jan-86,209.81
29-Jan-86,210.29
30-Jan-86,209.33
31-Jan-86,211.78
03-Feb-86,213.96
04-Feb-86,212.79
05-Feb-86,212.96
06-Feb-86,213.47
07-Feb-86,214.56
10-Feb-86,216.24
11-Feb-86,215.92
12-Feb-86,215.97
13-Feb-86,217.40
14-Feb-86,219.76
18-Feb-86,222.45
19-Feb-86,219.76
20-Feb-86,222.22
21-Feb-86,224.62
24-Feb-86,224.34
25-Feb-86,223.79
26-Feb-86,224.04
27-Feb-86,226.77
28-Feb-86,226.92
03-Mar-86,225.42
04-Mar-86,224.38
05-Mar-86,224.34
06-Mar-86,225.13
07-Mar-86,225.57
10-Mar-86,226.58
11-Mar-86,231.69
12-Mar-86,232.54
13-Mar-86,233.19
14-Mar-86,236.55
17-Mar-86,234.67
18-Mar-86,235.78
19-Mar-86,235.60
20-Mar-86,236.54
21-Mar-86,233.34
24-Mar-86,235.33
25-Mar-86,234.72
26-Mar-86,237.30
27-Mar-86,238.97
31-Mar-86,238.90
01-Apr-86,235.14
02-Apr-86,235.71
03-Apr-86,232.47
04-Apr-86,228.69
07-Apr-86,228.63
08-Apr-86,233.52
09-Apr-86,233.75
10-Apr-86,236.44
11-Apr-86,235.97
14-Apr-86,237.28
15-Apr-86,237.73
16-Apr-86,242.22
17-Apr-86,243.03
18-Apr-86,242.38
21-Apr-86,244.74
22-Apr-86,242.42
23-Apr-86,241.75
24-Apr-86,242.02
25-Apr-86,242.29
28-Apr-86,243.08
29-Apr-86,240.51
30-Apr-86,235.52
01-May-86,235.16
02-May-86,234.79
05-May-86,237.73
06-May-86,237.24
07-May-86,236.08
08-May-86,237.13
09-May-86,237.85
12-May-86,237.58
13-May-86,236.41
14-May-86,237.54
15-May-86,234.43
16-May-86,232.76
19-May-86,233.20
20-May-86,236.11
21-May-86,235.45
22-May-86,240.12
23-May-86,241.35
27-May-86,244.75
28-May-86,246.63
29-May-86,247.98
30-May-86,247.35
02-Jun-86,245.04
03-Jun-86,245.51
04-Jun-86,243.94
05-Jun-86,245.65
06-Jun-86,245.67
09-Jun-86,239.96
10-Jun-86,239.58
11-Jun-86,241.13
12-Jun-86,241.49
13-Jun-86,245.73
16-Jun-86,246.13
17-Jun-86,244.35
18-Jun-86,244.99
19-Jun-86,244.06
20-Jun-86,247.58
23-Jun-86,245.26
24-Jun-86,247.03
25-Jun-86,248.93
26-Jun-86,248.74
27-Jun-86,249.60
30-Jun-86,250.84
01-Jul-86,252.04
02-Jul-86,252.70
03-Jul-86,251.79
07-Jul-86,244.05
08-Jul-86,241.59
09-Jul-86,242.82
10-Jul-86,243.01
11-Jul-86,242.22
14-Jul-86,238.11
15-Jul-86,233.66
16-Jul-86,235.01
17-Jul-86,236.07
18-Jul-86,236.36
21-Jul-86,236.24
22-Jul-86,238.18
23-Jul-86,238.67
24-Jul-86,237.95
25-Jul-86,240.22
