Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,2476.959961,2519.489990,2467.469971,2510.030029,2510.030029,3733160000
2019-01-03,2491.919922,2493.139893,2443.959961,2447.889893,2447.889893,3822860000
2019-01-04,2474.330078,2538.070068,2474.330078,2531.939941,2531.939941,4213410000
2019-01-07,2535.610107,2566.159912,2524.560059,2549.689941,2549.689941,4104710000
2019-01-08,2568.110107,2579.820068,2547.560059,2574.409912,2574.409912,4083030000
2019-01-09,2580.000000,2595.320068,2568.889893,2584.959961,2584.959961,4052480000
2019-01-10,2573.510010,2597.820068,2562.020020,2596.639893,2596.639893,3704500000
2019-01-11,2588.110107,2596.270020,2577.399902,2596.260010,2596.260010,3434490000
2019-01-14,2580.310059,2589.320068,2570.409912,2582.610107,2582.610107,3664450000
2019-01-15,2585.100098,2613.080078,2585.100098,2610.300049,2610.300049,3572330000
2019-01-16,2614.750000,2625.760010,2612.679932,2616.100098,2616.100098,3863770000
2019-01-17,2609.280029,2645.060059,2606.360107,2635.959961,2635.959961,3772270000
2019-01-18,2651.270020,2675.469971,2647.580078,2670.709961,2670.709961,3986730000
2019-01-22,2657.879883,2657.879883,2617.270020,2632.899902,2632.899902,3908030000
2019-01-23,2643.479980,2653.189941,2612.860107,2638.699951,2638.699951,3335610000
2019-01-24,2638.840088,2647.199951,2627.010010,2642.330078,2642.330078,3433250000
2019-01-25,2657.439941,2672.379883,2657.330078,2664.760010,2664.760010,3814080000
2019-01-28,2644.969971,2644.969971,2624.060059,2643.850098,2643.850098,3612810000
2019-01-29,2644.889893,2650.929932,2631.050049,2640.000000,2640.000000,3504200000
2019-01-30,2653.620117,2690.439941,2648.340088,2681.050049,2681.050049,3867810000
2019-01-31,2685.489990,2708.949951,2678.649902,2704.100098,2704.100098,4917650000
2019-02-01,2702.320068,2716.659912,2696.879883,2706.530029,2706.530029,3759270000
2019-02-04,2706.489990,2724.989990,2698.750000,2724.870117,2724.870117,3359840000
2019-02-05,2728.340088,2738.979980,2724.030029,2737.699951,2737.699951,3560430000
2019-02-06,2735.050049,2738.080078,2724.149902,2731.610107,2731.610107,3472690000
2019-02-07,2717.530029,2719.320068,2687.260010,2706.050049,2706.050049,4099490000
2019-02-08,2692.360107,2708.070068,2681.830078,2707.879883,2707.879883,3622330000
2019-02-11,2712.399902,2718.050049,2703.790039,2709.800049,2709.800049,3361970000
2019-02-12,2722.610107,2748.189941,2722.610107,2744.729980,2744.729980,3827770000
2019-02-13,2750.300049,2761.850098,2748.629883,2753.030029,2753.030029,3670770000
2019-02-14,2743.500000,2757.899902,2731.229980,2745.729980,2745.729980,3836700000
2019-02-15,2760.239990,2775.659912,2760.239990,2775.600098,2775.600098,3641370000
2019-02-19,2769.280029,2787.330078,2767.290039,2779.760010,2779.760010,3533710000
2019-02-20,2779.050049,2789.879883,2774.060059,2784.699951,2784.699951,3835450000
2019-02-21,2780.239990,2781.580078,2764.550049,2774.879883,2774.879883,3559710000
2019-02-22,2780.669922,2794.199951,2779.110107,2792.669922,2792.669922,3427810000
2019-02-25,2804.350098,2813.489990,2794.989990,2796.110107,2796.110107,3804380000
2019-02-26,2792.360107,2803.120117,2789.469971,2793.899902,2793.899902,3645680000
2019-02-27,2787.500000,2795.760010,2775.129883,2792.379883,2792.379883,3767130000
2019-02-28,2788.110107,2793.729980,2782.510010,2784.489990,2784.489990,4396930000
2019-03-01,2798.219971,2808.020020,2787.379883,2803.689941,2803.689941,3972280000
2019-03-04,2814.370117,2816.879883,2767.659912,2792.810059,2792.810059,3919810000
2019-03-05,2794.409912,2796.439941,2782.969971,2789.649902,2789.649902,3585690000
2019-03-06,2790.270020,2790.270020,2768.689941,2771.449951,2771.449951,3786600000
2019-03-07,2766.530029,2767.250000,2739.090088,2748.929932,2748.929932,3904860000
2019-03-08,2730.790039,2744.129883,2722.270020,2743.070068,2743.070068,3423130000
2019-03-11,2747.610107,2784.000000,2747.610107,2783.300049,2783.300049,3749030000
2019-03-12,2787.340088,2798.320068,2786.729980,2791.520020,2791.520020,3414230000
2019-03-13,2799.780029,2821.239990,2799.780029,2810.919922,2810.919922,3766150000
2019-03-14,2810.379883,2815.000000,2803.459961,2808.479980,2808.479980,3469730000
2019-03-15,2810.790039,2830.729980,2810.790039,2822.479980,2822.479980,5962730000
2019-03-18,2822.610107,2835.409912,2821.989990,2832.939941,2832.939941,3552190000
2019-03-19,2840.760010,2852.419922,2823.270020,2832.570068,2832.570068,3620220000
2019-03-20,2831.340088,2843.540039,2812.429932,2824.229980,2824.229980,3771200000
2019-03-21,2819.719971,2860.310059,2817.379883,2854.879883,2854.879883,3546800000
2019-03-22,2844.520020,2846.159912,2800.469971,2800.709961,2800.709961,4237200000
2019-03-25,2796.010010,2809.790039,2785.020020,2798.360107,2798.360107,3376580000
2019-03-26,2812.659912,2829.870117,2803.989990,2818.459961,2818.459961,3266050000
2019-03-27,2819.719971,2825.560059,2787.719971,2805.370117,2805.370117,3372930000
